Game,Top_Topics
Warframe,"garbage, garbage garbage, hate, hate terraria, hate everything; pay win, free players, paying free, pay sadly, nothing free; everything ok, fine ok, alr ok, ok fine, okay"
Wargame: European Escalation,
Wargame: Red Dragon,"city builder, base building, build, recommend, rimworld"
Wargame: Red Dragon - Double Nation Pack: REDS,
Wargame: Red Dragon - Nation Pack: Israel,"downloadable content, dlc, dlcs, season pass, content offers"
Wargroove,"gameplay, warhammer, multiplayer, campaign, missions"
"Warhammer 40,000: Battlesector","gameplay, warhammer, multiplayer, campaign, missions"
"Warhammer 40,000: Boltgun",
"Warhammer 40,000: Chaos Gate - Daemonhunters","gameplay, warhammer, multiplayer, campaign, missions; amazing, incredible, fantastic, amazing amazing, magnificent"
"Warhammer 40,000: Darktide",
"Warhammer 40,000: Darktide Playtest",
"Warhammer 40,000: Dawn of War - Anniversary Edition",
"Warhammer 40,000: Dawn of War II - Anniversary Edition","gameplay, warhammer, multiplayer, campaign, missions; cod campaign, best cod, campaign cod, cod series, cod multiplayer"
"Warhammer 40,000: Dawn of War II: Retribution","gameplay, sequel, remaster, original adventures, improved"
"Warhammer 40,000: Dawn of War III","gameplay, warhammer, multiplayer, campaign, missions"
"Warhammer 40,000: Gladius - Relics of War","vibe dope, dope, dope nice, finally fcking, vibe; gameplay, warhammer, multiplayer, campaign, missions"
"Warhammer 40,000: Inquisitor - Martyr","keeps crashing, glitching, constantly crashes, unplayable, fps; diablo, diablo diablo, successor diablo, better diablo, strategy diablo2"
"Warhammer 40,000: Kill Team","wait wait, say wait, nothing say, wait, god yeah"
"Warhammer 40,000: Mechanicus","gameplay, rpg, bad, characters, character; best frenchise, frenchise ever, tis really, rly like, best"
"Warhammer 40,000: Mechanicus - Heretek",
"Warhammer 40,000: Regicide",
"Warhammer 40,000: Rogue Trader","playable bugs, ps4 controller, unplayable, playstation controller, playable updates"
"Warhammer 40,000: Sanctus Reach","gameplay, warhammer, multiplayer, campaign, missions; combat system, move infantry, operation northwoods, strategy, combat"
"Warhammer 40,000: Sanctus Reach - Horrors of the Warp","amazing cdpr, enjoyed graphics, gameplay stellar, gameplay entertaining, gameplay brilliant"
"Warhammer 40,000: Sanctus Reach - Sons of Cadia","expansions, expansion really, es2 expansions, expansion even, expansion"
"Warhammer 40,000: Shootas, Blood & Teef",
"Warhammer 40,000: Space Marine - Anniversary Edition","gameplay, warhammer, multiplayer, campaign, missions; gameplay, rpg, bad, characters, character"
"Warhammer 40,000: Space Marine - Chaos Unleashed Map Pack",
"Warhammer 40,000: Space Marine 2","keeps crashing, glitching, constantly crashes, unplayable, fps; best coop, coop experience, coop friend, coop coop, coop; gameplay, warhammer, multiplayer, campaign, missions"
"Warhammer 40,000: Space Marine 2 - 4K Texture Pack","gameplay, warhammer, multiplayer, campaign, missions; keeps crashing, glitching, constantly crashes, unplayable, fps"
"Warhammer 40,000: Space Marine 2 - Ultramarines Cosmetic Pack",
"Warhammer 40,000: Space Wolf",
"Warhammer 40,000: Speed Freeks","ok, fine, ok ok, ok fine, smart ok"
"Warhammer 40,000: Warpforge","hearthstone, deckbuilders, deck, decks, deckbuilder"
Warhammer Age of Sigmar: Champions,
Warhammer Age of Sigmar: Realms of Ruin,
Warhammer Combat Cards,
Warhammer Quest,
Warhammer Quest 2: The End Times,"thumb thumb, thumb, funny thumb, fingers, fingers hole"
Warhammer Underworlds - Shadespire Edition,
Warhammer: Chaosbane,"diablo, diablo diablo, successor diablo, better diablo, strategy diablo2; bad, bad bad, bad yea, horribly bad, bad yeah; gameplay, rpg, bad, characters, character"
Warhammer: End Times - Vermintide,
Warhammer: Vermintide 2,"time killer, funnny lov, funnny, fr funnny, killer; best frenchise, frenchise ever, tis really, rly like, best; gameplay, rpg, bad, characters, character"
Warhammer: Vermintide 2 - Back to Ubersreik,"thumb thumb, thumb, funny thumb, fingers, fingers hole"
Warhammer: Vermintide 2 - Shadows Over Bögenhafen,"thumb thumb, thumb, funny thumb, fingers, fingers hole"
"Warhammer® 40,000: Dawn of War® - Soulstorm","gameplay, warhammer, multiplayer, campaign, missions"
"Warhammer® 40,000: Dawn of War® II Chaos Rising","downloadable content, dlc, dlcs, season pass, content offers; cod campaign, best cod, campaign cod, cod series, cod multiplayer"
"Warhammer® 40,000: Dawn of War® – Winter Assault",
Warlander,
Warlock - Master of the Arcane,
Warlock 2: The Exiled,
Warman,
WarpVector,"space combat, galactic civilizations, subnautica, endless space, gameplay"
Warpips,"combat system, move infantry, operation northwoods, strategy, combat"
Warrior Next,"soundtrackmusic, soundtrackmusic ive, soundtrack music, soundtracks ill, soundtrack"
Wars Across The World: Innsmouth 1928,
Wars and Battles: October War,"excellent port, port excellent, terrible port, final fantasy, nice port"
Warstone TD,"tower defense, tower defence, rogue tower, like tower, best tower; negative reviews, negative review, reviews buy, positive review, reviews anyway"
Wartales,"bad, bad bad, bad yea, horribly bad, bad yeah"
Warzone 2100,"remastered looks, remaster, remastered, remastered dont, gameplay"
Wasteland 2: Director's Cut,"gameplay, rpg, bad, characters, character; price indie, ultimate edition, price, cost, humble bundle"
Wasteland 3,"soundtrackmusic, soundtrackmusic ive, soundtrack music, soundtracks ill, soundtrack"
Wastelander,
Watch_Dogs® 2,"fps classic, best ever, ever greatest, best ive, greatest; gg, dnt gg, gg gg, gg pk, gfhfghfgh dnt; en, en iyi, bir oyun, bu oyunu, hndvask"
Watch_Dogs™,"perfect perfect, perfect, continues perfect, perfect fuuny, fuuny perfect"
Watchmen: The End is Nigh,
Watchmen: The End is Nigh Part 2,"gameplay, sequel, remaster, original adventures, improved"
Wavetale,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Wayfinder,"nan, nan nan, exploding nan, nan exploding, nan darn"
Wayward,
WazHack,"gameplay, sequel, remaster, original adventures, improved"
We Become What We Behold [Fan-Made Port],
We Happy Few,"gameplay, rpg, bad, characters, character"
We Happy Few - Lightbearer,"downloadable content, dlc, dlcs, season pass, content offers"
We Happy Few - Roger & James in They Came From Below,"downloadable content, dlc, dlcs, season pass, content offers"
We Happy Few - Season Pass,"downloadable content, dlc, dlcs, season pass, content offers"
We Happy Few - We All Fall Down,"downloadable content, dlc, dlcs, season pass, content offers"
We Went Back,"nan, nan nan, exploding nan, nan exploding, nan darn"
We Were Here,"best coop, coop experience, coop friend, coop coop, coop; solve puzzles, adventure, puzzles, portal, puzzle"
We Were Here Expeditions: The FriendShip,"solve puzzles, adventure, puzzles, portal, puzzle"
We Were Here Forever,"much gameplay, gameplay, characters, novel, ive read; solve puzzles, adventure, puzzles, portal, puzzle; fps classic, best ever, ever greatest, best ive, greatest"
We Were Here Together,"solve puzzles, adventure, puzzles, portal, puzzle"
We Were Here Too,"solve puzzles, adventure, puzzles, portal, puzzle"
We Who Are About To Die,"time killer, funnny lov, funnny, fr funnny, killer; combat system, move infantry, operation northwoods, strategy, combat; gameplay, sequel, remaster, original adventures, improved"
We. The Revolution,"thumb thumb, thumb, funny thumb, fingers, fingers hole"
Weaves of Fate,
Webbed,
Weird West: Definitive Edition,
Welcome to the Game II,
Wequer,
Werewolf: The Apocalypse - Earthblood,"negative reviews, negative review, reviews buy, positive review, reviews anyway"
Werewolf: The Apocalypse — Heart of the Forest,"100 hours, 1000 hours, 20 hours, hours, 29 hours"
West Sweety,"pay win, free players, paying free, pay sadly, nothing free"
West of Dead,"zombie survival, kill zombies, best zombie, zombies, zombie"
West of Dead Beta,
West of Loathing,
West of Loathing: Reckonin' at Gun Manor,
Westerado: Double Barreled,
What Never Was,"gameplay, sequel, remaster, original adventures, improved"
What Remains of Edith Finch,"solve puzzles, adventure, puzzles, portal, puzzle; much gameplay, gameplay, characters, novel, ive read; combat system, move infantry, operation northwoods, strategy, combat"
Wheely,"kid named, named wheely, named snail, wheely kid, named grass"
When Ski Lifts Go Wrong,
When The Past Was Around,
Where Angels Cry,"solve puzzles, adventure, puzzles, portal, puzzle"
While We Wait Here,
Whiskey.Mafia. Leo's Family,
Whispers of a Machine,
White Hell,
White Night,"ea, valve, fortnite, ubisoft, exclusive content"
White Noise 2,
Who Pressed Mute on Uncle Marcus?,"sherlock, sherlocks, buy sherlock, sherlock holmes, another sherlock"
Who's Your Daddy?!,"en, en iyi, bir oyun, bu oyunu, hndvask"
Wick,"horror experience, horror, psychological horror, survival horror, silent hill"
Wicked Island Demo,
Wife Quest,"story mode, pilgrim saga, walking dead, narrative, observer insights"
Wigmund,
Wild Dive,"kid named, named wheely, named snail, wheely kid, named grass"
WildFront,"pay win, free players, paying free, pay sadly, nothing free"
Wildermyth,"nope, nah, maybe nope, maybe, nah maybe; much gameplay, gameplay, characters, novel, ive read"
Wildfrost,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Wilson Chronicles,
Windowkill,
Windward,
Wingspan,"excellent port, port excellent, terrible port, final fantasy, nice port; keeps crashing, glitching, constantly crashes, unplayable, fps"
Winter Voices,"much gameplay, gameplay, characters, novel, ive read"
WinterThunder,
Witch Amelia,
Wizard Hand Demo,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Wizard of Legend,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Wizard with a Gun,
Wizardry 8,
Wizorb,
Wizrogue - Labyrinth of Wizardry,
Wo Long: Fallen Dynasty,"dark souls, soulslike, soul dark, souls, souls though"
Wolf Tails,"depression, others life, life, lost miserable, selfinflicted"
Wolfenstein 3D,
Wolfenstein II: The Freedom Chronicles - Episode 1,"downloadable content, dlc, dlcs, season pass, content offers"
Wolfenstein II: The Freedom Chronicles - Episode 2,"downloadable content, dlc, dlcs, season pass, content offers"
Wolfenstein II: The Freedom Chronicles - Episode 3,"downloadable content, dlc, dlcs, season pass, content offers"
Wolfenstein II: The Freedom Chronicles - Season Pass,"downloadable content, dlc, dlcs, season pass, content offers"
Wolfenstein II: The New Colossus,"combat system, move infantry, operation northwoods, strategy, combat; nan, nan nan, exploding nan, nan exploding, nan darn; gameplay, sequel, remaster, original adventures, improved"
Wolfenstein: Cyberpilot,
Wolfenstein: The New Order,"gameplay, rpg, bad, characters, character; bullets reload, person shooter, innovative shooter, tactical shooter, like shooting; keeps crashing, glitching, constantly crashes, unplayable, fps"
Wolfenstein: The Old Blood,"gameplay, sequel, remaster, original adventures, improved; en, en iyi, bir oyun, bu oyunu, hndvask; perfect perfect, perfect, continues perfect, perfect fuuny, fuuny perfect"
Wolfenstein: Youngblood,"time killer, funnny lov, funnny, fr funnny, killer"
Wonder Boy: The Dragon's Trap,
Wooden House,
Words Can Kill,"playable bugs, ps4 controller, unplayable, playstation controller, playable updates"
Words for Evil,
Workers & Resources: Soviet Republic,"city builder, base building, build, recommend, rimworld"
World War 3,
World War Z,"best coop, coop experience, coop friend, coop coop, coop"
World War Z: Valley of the Zeke Episode,"gooddddd, back gooddddd, back, come, come back"
World of Guns: Gun Disassembly,"combat system, move infantry, operation northwoods, strategy, combat"
World of Myths,"hearthstone, deckbuilders, deck, decks, deckbuilder"
World of Tanks,"excellent port, port excellent, terrible port, final fantasy, nice port"
World of Tanks Blitz,"nan, nan nan, exploding nan, nan exploding, nan darn"
World of Warplanes,"amazing cdpr, enjoyed graphics, gameplay stellar, gameplay entertaining, gameplay brilliant"
World of Warships,"nan, nan nan, exploding nan, nan exploding, nan darn; well, gam well, well boy, gam, boy"
World of Warships — Admiral Graf Spee Pack,
World of Warships — Anshan Pack,
World to the West,
WorldBox - God Simulator,"extremely addictive, addictive, pretty enjoyable, addicting, really recommend; ea, valve, fortnite, ubisoft, exclusive content; bad, bad bad, bad yea, horribly bad, bad yeah"
Worms Armageddon,"fps classic, best ever, ever greatest, best ive, greatest; 1110 best, 1110 funny, 1110, ever 1110, 1110 sad"
Worms Reloaded,"price indie, ultimate edition, price, cost, humble bundle"
Worms Revolution,"price indie, ultimate edition, price, cost, humble bundle"
Worms Ultimate Mayhem,"nan, nan nan, exploding nan, nan exploding, nan darn"
Worms W.M.D,"price indie, ultimate edition, price, cost, humble bundle"
Wreckfest,"motorsport, realistic driving, much racing, racing like, mario kart"
Wreckfest - Backwoods Bangers Car Pack,"motorsport, realistic driving, much racing, racing like, mario kart"
Wreckfest - Modified Monsters Car Pack,"motorsport, realistic driving, much racing, racing like, mario kart"
Wreckfest - Retro Rammers Car Pack,"motorsport, realistic driving, much racing, racing like, mario kart"
Wreckfest - Rusty Rats Car Pack,"motorsport, realistic driving, much racing, racing like, mario kart"
Wreckfest - Season Pass 2,"motorsport, realistic driving, much racing, racing like, mario kart"
Written in the Sky,"much gameplay, gameplay, characters, novel, ive read"
Wulverblade,"combat system, move infantry, operation northwoods, strategy, combat"
Wurroom,
Wuthering Waves,
Wytchwood,
X-Blades,
X-COM: UFO Defense,"fps classic, best ever, ever greatest, best ive, greatest"
X-Morph: Defense,"tower defense, tower defence, rogue tower, like tower, best tower"
XCOM 2: Alien Hunters,"downloadable content, dlc, dlcs, season pass, content offers"
XCOM 2: Anarchy's Children,
XCOM 2: War of the Chosen,
XCOM: Enemy Unknown,"really excellent, fantastic, excellent fantastic, excellent excellent, excellent"
XCOM® 2,"garbage, garbage garbage, hate, hate terraria, hate everything; yes, yep, yeah, yes yes, ye; extremely addictive, addictive, pretty enjoyable, addicting, really recommend"
XCOM®: Chimera Squad,
XENOTILT: HOSTILE PINBALL ACTION,"tables pinball, pinball tables, pinball fx, deluxe tables, pinball"
XIII,
XIII - Classic,
XXZ,"pay win, free players, paying free, pay sadly, nothing free"
XXZ: XXL,"gameplay, rpg, bad, characters, character"
XenoShyft,"best frenchise, frenchise ever, tis really, rly like, best"
XenoShyft - Dreadmire,"downloadable content, dlc, dlcs, season pass, content offers"
Xenonauts,"gameplay, warhammer, multiplayer, campaign, missions; amazing start, nice, nice nice, nice story, nice tech"
Yakuza 0,"1010 incredible, die 1010, perfect 1010, died 1010, 1010; invasion byzantine, im evil, hear jerusalem, puking priest, holy warred; amazing, incredible, fantastic, amazing amazing, magnificent"
Yakuza 3 Remastered,
Yakuza 4 Remastered,
Yakuza 5 Remastered,"horrible soundtrack, soundtrack, old soundtrack, music dissapointing, murdering audio"
Yakuza 6: The Song of Life,
Yakuza Kiwami,"dark souls, kingdom hearts, infinitely replayable, replayability onetime, ride life; negative reviews, negative review, reviews buy, positive review, reviews anyway"
Yakuza Kiwami 2,
Yakuza: Like a Dragon,"nan, nan nan, exploding nan, nan exploding, nan darn"
